name,description,imageUrl,price,abv,ibu,ebc,category,foodPairing,brewersTips
"Double Chocolate Porter","Delicie-se em uma chocolateria com nossa Double Chocolate Porter. O cacau em pó e os nibs de cacau adicionados durante a fervura criam uma experiência decadente de chocolate. Feche os olhos e deixe-se envolver pela riqueza e suavidade, como se estivesse saboreando um pedaço de chocolate gourmet.","","29.9","7.2","40","30","Porter","Brownie de chocolate,Queijo azul envelhecido,Churrasco defumado.","A adição de cacau em pó e nibs de cacau durante a fervura cria uma Porter intensamente chocolate. A levedura utilizada acentua as notas de chocolate, resultando em uma experiência decadente."
"Hoppy Wheat Beer","Passeie por um campo de lúpulos com nossa Hoppy Wheat Beer. A base suave de trigo maltado é a tela perfeita para uma explosão de aromas lupulados. Feche os olhos e sinta-se imerso em uma plantação de lúpulos, onde cada gole é uma celebração de frescor e vitalidade.","","23.9","5.5","40","10","Wheat Beer","Salada de camarão,Tacos de peixe,Cheesecake de limão.","O uso de trigo maltado proporciona uma base suave e cremosa, enquanto os lúpulos de aroma cítrico e o dry hopping contribuem para uma explosão de aromas lupulados nesta cerveja de trigo lupulado."
"Barleywine Envelhecida em Barril de Carvalho","Entre em uma sala de barris de carvalho com nossa Barleywine envelhecida. Cada gole é uma jornada pelo tempo, com as notas de baunilha e carvalho dançando no paladar. Feche os olhos e imagine-se entre barris envelhecidos, onde a maturação prolongada eleva esta cerveja a uma obra-prima de complexidade e suavidade.","","39.9","11","50","25","Barleywine","Queijo gorgonzola,Filé mignon grelhado,Torta de nozes.","A maturação prolongada em barris de carvalho confere a esta Barleywine notas de baunilha e carvalho, adicionando complexidade aos sabores maltados e ao alto teor alcoólico."
"Belgian Dubbel de Cereja","Delicie-se em um pomar de cerejeiras com nossa Belgian Dubbel de Cereja. A adição de purê de cereja durante a fermentação secundária proporciona uma explosão de sabores frutados. Feche os olhos e sinta-se envolvido pelo aroma suave da lavanda, enquanto cada gole é uma jornada pela beleza dos campos floridos.","","29.9","7.5","28","20","Dubbel","Costeletas de cordeiro,Queijo brie,Sorvete de cereja.","A adição de purê de cereja durante a fermentação secundária intensifica as características frutadas desta Dubbel belga, equilibrando-se com os ésteres da levedura."
"Porter Defumada com Chipotle","Explore uma fogueira defumada com nossa Porter Defumada com Chipotle. Os maltes defumados e a pimenta chipotle adicionada durante a fervura criam um espetáculo de sabores defumados e picantes. Feche os olhos e imagine-se junto a uma fogueira, onde a ousadia desta cerveja desperta seus sentidos.","","22.9","6.8","35","25","Porter","Churrasco de porco,Queijo defumado,Brownie de pimenta.","A combinação de maltes defumados e a adição de pimenta chipotle seca durante a fervura criam uma Porter defumada com um toque picante, proporcionando uma experiência única e ousada."
"Fruit Punch Gose","Mergulhe em um paraíso tropical com nossa Fruit Punch Gose. A adição de purês de frutas tropicais durante a fermentação proporciona uma explosão de frescor. Feche os olhos e imagine-se em uma ilha paradisíaca, onde cada gole é como um soco de frutas refrescante, equilibrado pelo toque salgado.","","12.9","4.7","15","5","Gose","Ceviche de manga,Salada de frutas,Tarte de maracujá.","A adição de purês de frutas tropicais durante a fermentação resulta em uma mistura exótica, simulando um soco de frutas refrescante. A presença do sal marinho contribui para um perfil equilibrado."
"Blonde Ale com Lavanda","Passeie por campos de lavanda com nossa Blonde Ale com Lavanda. A infusão de flores de lavanda secas durante a fervura cria uma experiência floral delicada. Feche os olhos e sinta-se envolvido pelo aroma suave da lavanda, enquanto cada gole é uma jornada pela beleza dos campos floridos.","","16.9","5.2","18","8","Blonde Ale","Salada de frango grelhado,Queijo de cabra,Sorvete de lavanda.","A infusão de flores de lavanda secas durante a fervura cria uma Blonde Ale leve e floral. A leveza dos maltes é complementada pela delicadeza da lavanda."
"Red Rye IPA","Percorra uma plantação de centeio com nossa Red Rye IPA. A combinação de maltes de centeio e lúpulos cítricos proporciona uma experiência única. Feche os olhos e imagine-se entre campos de centeio balançando ao vento, enquanto cada gole é uma celebração de picância e sabor.","","19.9","6.3","40","15","India Pale Ale (IPA)","Tacos de carne assada,Queijo cheddar envelhecido,Brownie de nozes.","A combinação de maltes de centeio e lúpulos cítricos confere a esta IPA vermelha um perfil maltado e picante, destacando-se entre as IPAs tradicionais."
"Weizenbock de Banana e Canela","Viaje para um mercado de especiarias com nossa Weizenbock de Banana e Canela. A cepa de levedura de trigo desenvolve intensos ésteres de banana, enquanto a canela adiciona um toque de especiaria. Feche os olhos e sinta-se imerso em um mercado exótico, onde cada gole é uma experiência sensorial repleta de sabores tropicais.","","29.9","7","25","18","Weizenbock","Schnitzel de porco,Queijo suíço,Bolo de banana.","A utilização de uma cepa de levedura de trigo desenvolve intensos ésteres de banana, enquanto a adição de canela durante a fermentação proporciona um toque de especiaria a esta Weizenbock robusta."
"Sour Ale de Morango e Manjericão","Explore um jardim de morangos com nossa Sour Ale de Morango e Manjericão. A adição de morangos frescos e manjericão durante a fermentação proporciona uma mistura refrescante e ácida. Feche os olhos e imagine-se entre canteiros de morangos maduros, enquanto cada gole é uma explosão de frescor e sofisticação.","","12.9","5.5","12","6","Sour Ale","Salada de morango,Ceviche de camarão,Sorvete de limão","A adição de morangos frescos e manjericão durante a fermentação secundária cria uma Sour Ale refrescante e ácida, onde a combinação de frutas e ervas resulta em um perfil único e equilibrado."
